,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
ZoologicoGuadalajara,4.592150095,5.95388825,5.179434216,4.932731138,4.680187352,9.212196844,4.609103666,4.526148176,3.22977256,4.595664714,0,2.388218606,0.406949541,0.31872882,5.636107729,8.491343554,0.117218675,0.12108804,6.222952545,4.012064006,5.610411311,3.884281078,4.950028516,4.915684169,5.948304759,4.927603631,1.971836667,2.998959008,12.36791825,3.8865562,11.68398926,2.628056894,7.940317417,13.63796965,10.99093149,16.54209584,8.304506164,11.01130072,3.869962282,13.94859297,9.746970053,11.72000904,9.216580498
ElTejaban,2.215659185,3.566130613,2.793522082,2.552960105,2.362257772,6.886715317,2.229022464,2.14732211,1.12517052,2.221968967,2.388218606,0,1.981440521,2.069808658,3.248129492,6.170556702,2.503841455,2.507356237,3.985629214,1.649360529,3.223703671,1.531511395,2.562748643,2.578069597,3.561020901,2.714107709,3.554680353,4.777109532,9.98100224,1.808033277,9.344801198,1.692954004,5.600353345,11.32386715,8.615608574,14.15529867,5.920593293,8.632065756,5.745128468,11.58295392,7.363496746,9.383718322,6.835614938
AcuariodelZoologicoGuadalajara,4.185600317,5.546966279,4.772492182,4.526038347,4.277902757,8.815924492,4.202367502,4.119466093,2.836502057,4.189276151,0.406949541,1.981440521,0,0.088390471,5.229461822,8.095526198,0.523241809,0.525970823,5.830207158,3.606129045,5.20346183,3.478827979,4.543560584,4.512033584,5.541360238,4.534837141,2.128875803,3.238819489,11.96163095,3.500828318,11.28609524,2.318798267,7.541501191,13.24442693,10.58694253,16.13515255,7.898829055,10.60488678,4.144853937,13.54646104,9.341420759,11.32258728,8.81149256
Antartidaelreinodelospinguinos,4.273547182,5.635277119,4.860720315,4.614062686,4.364327874,8.902902159,4.290417145,4.207483782,2.920188066,4.277144823,0.31872882,2.069808658,0.088390471,0,5.31784285,8.182418743,0.435250848,0.437582731,5.913930763,3.69379868,5.291718915,3.566307441,4.631950341,4.59889836,5.629643273,4.618515119,2.084731626,3.180093403,12.05002098,3.582498635,11.37336187,2.380122601,7.628901203,13.33095301,10.67512956,16.2233824,7.987189383,10.69277466,4.079863816,13.63439985,9.429772044,11.40977492,8.899802057
Zoologico,1.119583857,0.351604682,0.512467635,0.797352428,1.336297483,3.821547407,1.084104627,1.167675598,2.685767758,1.131376068,5.636107729,3.248129492,5.229461822,5.31784285,0,3.14703088,5.751471774,5.755417168,1.828645918,1.697836922,0.213715606,1.8372132,0.687874251,1.104626442,0.364273682,1.684260863,6.562298531,7.760749542,6.733659606,2.373690044,6.203678196,3.984842178,2.534306703,8.222774318,5.392838587,10.91377283,2.682342037,5.419249653,8.728136995,8.374247024,4.123787101,6.249075859,3.603421032
ParqueVillaFantasia,4.248831469,2.970260445,3.657726071,3.942158901,4.473165096,0.721861094,4.206797336,4.286463855,5.803776794,4.265327482,8.491343554,6.170556702,8.095526198,8.182418743,3.14703088,0,8.600669163,8.612411905,4.163873753,4.79815902,3.285457606,4.936489902,3.732597297,4.22740676,2.998513211,4.717653451,9.641706663,10.85455441,4.260530879,5.51927444,3.199579954,7.122222314,0.616617183,5.153522352,2.717247946,8.514059139,1.286030396,3.686401672,11.82603637,5.521242726,1.837339473,3.232489633,1.398364658
VillaAustraliana,4.708792844,6.069746677,5.295580113,5.049273787,4.797405774,9.321694632,4.725608342,4.642699177,3.346419905,4.712393555,0.117218675,2.503841455,0.523241809,0.435250848,5.751471774,8.600669163,0,0.042061494,6.339430402,4.128955716,5.726470562,4.001284129,5.065199991,5.032878316,6.064274442,5.044117471,1.956595491,2.951606032,12.48284841,4.002238449,11.79415331,2.730798212,8.051003569,13.74617703,11.10421572,16.65821961,8.418941361,11.12802473,3.808914038,14.06080574,9.861295229,11.82995682,9.330582151
Herpetariolatierradelosreptilesyanfibios,4.709482018,6.07262417,5.297759999,5.050297988,4.793889657,9.33327342,4.726764616,4.643706403,3.339020067,4.712762103,0.12108804,2.507356237,0.525970823,0.437582731,5.755417168,8.612411905,0.042061494,0,6.331313418,4.128649734,5.728865896,4.000401549,5.069529774,5.030288133,6.066886827,5.036159249,1.915281286,2.914436856,12.48757727,3.992215445,11.80507677,2.70805254,8.061391051,13.75894711,11.11151085,16.66038724,8.42453212,11.12833172,3.77477799,14.06947302,9.867057907,11.84109673,9.336850142
NaturaPet,1.990676945,1.645663324,1.760725743,1.781785606,1.655721686,4.683301625,2.01371774,2.063442666,2.993746703,1.964465532,6.222952545,3.985629214,5.830207158,5.913930763,1.828645918,4.163873753,6.339430402,6.331313418,0,2.404228455,1.626844872,2.491724467,2.103554419,1.503117336,1.607544458,1.295424449,6.614472011,7.711639698,6.723895121,2.349798246,6.722715454,3.936641439,3.584300961,8.75046012,5.676806448,10.62667834,3.166225608,5.081717315,8.633192536,8.598790503,4.388954478,6.781598183,3.988721758
ZoologicodeEsculturasJuegos,0.589643965,1.979051205,1.200152319,0.932245485,0.748506999,5.491692005,0.616815653,0.532261052,1.006908001,0.588051946,4.012064006,1.649360529,3.606129045,3.69379868,1.697836922,4.79815902,4.128955716,4.128649734,2.404228455,0,1.629116025,0.139567234,1.06566692,0.936146285,1.967695742,1.235349817,4.866201101,6.068723416,8.400646464,0.954875864,7.897570196,2.337787844,4.195998142,9.911181918,7.086324693,12.54003438,4.372144162,7.000106207,7.037924953,10.06981705,5.809155102,7.941973756,5.295053653
