,MuseoRegionaldeGuadalajara,MUSAMuseodelasArtesUniversidaddeGuadalajara,MuseodelaCiudaddeGuadalajara,MuseoPalacioOcampo,MuseodePaleontologiadeGuadalajara,MuseodeArtedeZapopan,CasaMuseoLopezPortillo,MuseodelasArtesPopularesdeJalisco,MuseodelEjercitoyFuerzaAerea,MuseoDeSitioDelPalacioDeGobierno,ZoologicoGuadalajara,ElTejaban,AcuariodelZoologicoGuadalajara,Antartidaelreinodelospinguinos,Zoologico,ParqueVillaFantasia,VillaAustraliana,Herpetariolatierradelosreptilesyanfibios,NaturaPet,ZoologicodeEsculturasJuegos,ParqueRevolucion,ParqueMorelos,ParqueAlcalde,ParqueAguaAzul,ParqueExpiatorio,ParquedeLaLiberacion,ParqueSanJacinto,ParqueJardinesdelNilo,ParquelaCalma,ParqueGonzalezGallo,AndaresCentroComercial,ForumTlaquepaque,CentroComercialPlazaPatria,PlazaRealCenter,LaGranPlazaFashionMall,PuntoSur,CentroMagno,CentroSur,CentroComercialPlazaLomas,PlazaGaleriasGuadalajara,HotelRiuPlazaGuadalajara,HyattRegencyAndaresGuadalajara,FiestaAmericanaGuadalajara
CentroComercialPlazaPatria,66.72728482,47.63056172,58.36844607,62.46153452,69.59500134,28.69219941,66.17401943,67.25490406,85.52582775,66.93761408,110.6490653,89.74721952,107.4808409,108.1874179,50.54740487,6.032513978,111.5035452,111.5831974,65.9640303,73.89403162,52.68033506,75.5994085,59.61938823,66.32912158,48.09266705,72.72262807,118.7609701,50.63985927,79.19491183,82.27026893,68.12399237,98.6147365,999,91.06844101,59.64701621,117.7434295,23.22764281,69.23930202,52.89693529,93.99914934,42.79825543,68.62575531,33.43065266
PlazaRealCenter,120.7465932,111.0098916,116.5489775,118.5390683,121.7916238,76.84291252,120.49656,121.0475585,52.17125029,120.8287285,57.69518217,53.10419105,56.97893508,57.13848467,112.8090346,85.02185551,57.88795818,57.91059279,116.6699386,124.4424108,113.5965299,50.12625584,117.3895235,120.080105,111.1717617,122.6649973,59.63559875,61.50869672,55.56930139,51.34113825,42.32563326,54.95676624,91.06844101,999,59.46326325,81.61025502,90.29147634,78.12948964,62.89275732,31.42007846,76.00073612,41.40942374,80.74697536
LaGranPlazaFashionMall,98.4820843,84.55861212,92.63428308,95.30804241,99.2674066,42.94364199,98.20528363,98.98000834,111.5090652,98.54240484,52.36037999,115.704095,51.42552136,51.63270938,87.58681117,53.41658741,52.61610223,52.63247585,90.52874491,103.6841571,88.30205446,104.8617662,94.37332901,96.87008679,84.71717285,99.82148913,54.407528,56.7385339,33.68016739,108.1329507,27.29336192,120.4334031,59.64701621,59.46326325,999,91.74098291,53.38575313,39.1169555,58.46212072,57.48942301,28.80468705,28.71219278,37.99097721
PuntoSur,54.45075165,51.43156968,53.18935462,53.72990005,54.39002534,110.0082574,54.41088492,54.58382703,57.31020898,54.44767123,62.32400011,58.60121568,61.73735746,61.86609398,52.18461978,114.9674833,62.48811756,62.49116748,51.5190966,55.63449536,52.22577427,55.89339838,53.70722754,53.86130149,51.4428298,54.18673718,63.26639983,64.71112725,74.7592538,56.29954739,90.63836946,59.24608038,117.7434295,81.61025502,91.74098291,999,113.345208,89.37143868,65.8224504,65.14582245,101.928073,90.74987619,106.5426655
CentroMagno,68.64158472,48.31953823,60.20441318,64.07042675,69.8658655,34.02570846,68.25231544,69.36266127,86.99529761,68.72446078,113.421609,92.97067615,110.3260586,111.0121934,52.87552625,28.48721718,114.270158,114.311344,60.12022166,76.05239887,53.85580114,77.71167662,62.87679853,66.43515247,48.55633461,71.17779477,119.9222006,50.99064346,72.30431267,82.46513864,66.3855562,99.30556035,23.22764281,90.29147634,53.38575313,113.345208,999,57.2229912,53.19568167,90.77375689,31.52455424,67.10282039,6.451841035
CentroSur,97.74113238,84.23874326,92.18716243,94.52504692,97.25664185,61.94756268,97.59529999,98.35716967,110.0683946,97.70617662,52.40656382,115.8227148,51.4678236,51.67395304,87.86500275,67.33694072,52.66949878,52.67018649,84.23638384,102.9420952,87.82105228,104.0560905,94.75299887,94.89759142,84.24636611,96.29442148,53.83397371,56.10823786,38.83694167,105.6515704,57.61945926,118.25185,69.23930202,78.12948964,39.1169555,89.37143868,57.2229912,999,57.82719078,69.59389911,39.18154795,58.67351572,46.85249923
CentroComercialPlazaLomas,108.0235528,118.2781799,112.7833449,110.6261779,107.05121,55.60784912,108.316865,107.64924,94.1633568,107.9327725,69.75437646,91.22073027,73.25727709,72.44146444,116.5110149,54.18316074,68.95752316,68.50887166,115.8308288,103.2685167,115.8289163,102.0582622,111.8731137,109.1424808,118.1545153,106.9184291,44.97754705,6.497657064,60.46279667,98.08901843,59.8904116,80.86245914,52.89693529,62.89275732,58.46212072,65.8224504,53.19568167,57.82719078,999,63.04432835,56.09896451,59.96350481,55.12907535
PlazaGaleriasGuadalajara,121.6903436,111.8515044,117.5193107,119.426218,122.2603135,81.16746288,121.487453,122.0426079,52.46654579,121.7365519,58.24389344,53.66713917,57.53077296,57.68879234,113.9400027,88.93042302,58.43863207,58.45359809,115.5826571,50.17393544,114.4700617,50.51630075,118.7033377,120.5427848,111.9648777,122.5733056,59.87113264,61.68737691,41.99424402,51.46827948,47.96918002,55.11535688,93.99914934,31.42007846,57.48942301,65.14582245,90.77375689,69.59389911,63.04432835,999,74.94636043,47.77158549,80.82749438
HotelRiuPlazaGuadalajara,85.74879088,69.23828662,78.87504122,81.98982324,86.50441731,31.81173802,85.44522635,86.35670714,100.8765152,85.80383974,123.3982989,106.0197847,120.743725,121.3314807,72.99365021,38.80389418,124.127041,124.163552,76.25561824,91.86378184,73.70127922,93.23125622,81.11490019,83.68076133,69.40294542,87.07725696,51.55908228,54.17278361,52.14347854,96.84898213,47.73677236,111.0965454,42.79825543,76.00073612,28.80468705,101.928073,31.52455424,39.18154795,56.09896451,74.94636043,999,48.77380105,5.87685259
HyattRegencyAndaresGuadalajara,106.0625623,93.81548895,100.8209005,103.2966812,107.2842713,50.16994525,105.7616162,106.4488626,117.968107,106.1571456,53.95950351,121.0257775,53.10137616,53.29236278,96.14509639,61.07107813,54.191389,54.2147534,101.0272995,110.6619297,97.08926306,111.7373562,101.9604365,105.1564434,94.01358516,108.3422163,56.15541117,58.3498871,41.59083185,115.3629585,0.009778488,50.54797493,68.62575531,41.40942374,28.71219278,90.74987619,67.10282039,58.67351572,59.96350481,47.77158549,48.77380105,999,54.59940085
FiestaAmericanaGuadalajara,80.02479493,62.30042944,72.63313113,76.01739178,81.05598544,26.89892251,79.68018386,80.65537977,96.24846458,80.09878501,119.9040133,101.5052756,117.1025177,117.7234824,66.22269912,30.67029131,120.6712514,120.713173,71.28460031,86.54846483,67.10473585,88.01534804,74.90930144,78.03954814,62.50452969,81.99427986,50.35262679,53.10825553,60.26957088,92.15571293,53.71502699,107.2136164,33.43065266,80.74697536,37.99097721,106.5426655,6.451841035,46.85249923,55.12907535,80.82749438,5.87685259,54.59940085,999
