,Museo Regional de Guadalajara,MUSA Museo de las Artes Universidad de Guadalajara,Museo de la Ciudad de Guadalajara,Museo Palacio Ocampo,Museo de Paleontología de Guadalajara,Museo de Arte de Zapopan,Casa Museo López Portillo,Museo de las Artes Populares de Jalisco,Museo del Ejército y Fuerza Aérea,Museo De Sitio Del Palacio De Gobierno,Zoológico Guadalajara,El Tejaban,Acuario del Zoológico Guadalajara,"Antártida, el reino de los pingüinos",Zoológico,Parque Villa Fantasía,Villa Australiana,"Herpetario, la tierra de los reptiles y anfibios.",Natura Pet,Zoológico de Esculturas - Juegos,Parque Revolución,Parque Morelos,Parque Alcalde,Parque Agua Azul,Parque Expiatorio,Parque de La Liberación,Parque San Jacinto,Parque Jardines del Nilo,Parque la Calma,Parque González Gallo,Andares Centro Comercial,Fórum Tlaquepaque,Centro Comercial Plaza Patria,Plaza Real Center,La Gran Plaza Fashion Mall,Punto Sur,Centro Magno,Centro Sur,Centro Comercial Plaza Lomas,Plaza Galerías Guadalajara,Hotel Riu Plaza Guadalajara,Hyatt Regency Andares Guadalajara,Fiesta Americana Guadalajara
Parque Revolución,62.40755525208470,21.007970418335200,25.915586875094800,42.013620002912500,71.27959738768940,236.81925306067800,60.790250551799700,65.86615177627110,155.65541851134500,62.73276218800370,336.62467866286300,193.42222025182800,312.2077097956360,317.50313487237000,12.822936341497400,197.1274563727800,343.5882336964900,343.73195374371500,97.6106923199849,97.74696149634090,0.0,106.00153461256900,42.332680619472900,56.585772305642600,20.357130801265400,89.59242762710100,388.6074879504640,460.0867139580520,406.4369382861660,134.25925493042700,378.13955881751600,232.37509825434000,160.18778991229700,499.67876823176400,327.65557097668300,655.907324132508,164.74349417992400,324.90426231042300,517.9756166064150,506.76653328941300,250.82863528760100,380.96446986537,220.14152032489600
Parque Morelos,43.598224532294300,127.00479008529600,80.30968390112840,64.1137462240741,50.45537481778550,337.83786339618600,45.32145225541990,40.25532656095920,52.21658101706610,43.4020702007629,233.05686470294100,91.89068369272570,208.72967872932300,213.97844643367900,110.2327919726960,296.1893941356630,240.07704774929800,240.02409294267100,149.50346802798700,8.374034062703590,106.00153461256900,0.0,72.23358990380400,62.804968206987000,126.29734858121300,77.23959287540740,283.5980467113540,355.75595119753100,512.2049556990130,52.59169682581050,482.2280979943420,132.20911884175500,260.0888260213190,603.0378110846080,433.4974879386910,760.3405793075300,270.63358128484900,427.79211928103400,413.91265405971500,612.5205048150540,356.823384471252,484.8917385806240,326.0136573687900
Parque Alcalde,33.28471252960540,61.323942884624500,21.05358281936890,23.924739281904100,57.533513398333800,265.6662764055740,30.19864522761770,34.327538989971700,124.32538431288200,34.90039290025280,297.00171097075900,153.76491855642400,272.61363505747600,277.91702045249600,41.27245504545200,223.95583782713600,303.91199943002600,304.17178645996500,126.213265148922,63.94001520587070,42.332680619472900,72.23358990380400,0.0,49.901055025141800,61.42437166530920,88.68437802736040,355.3276028494760,427.7444931513600,445.09571774965100,112.48911270656600,410.65247139408100,203.89233351971200,187.8953565869320,531.1323508166790,363.8450726208790,696.0986522826340,201.6109110065980,366.2022384060580,485.9580205809310,542.4509757917480,288.1778212810620,413.2426525046620,256.69884943454900
Parque Agua Azul,29.884410146116900,75.82323346154610,38.56082552608020,26.0164503448992,15.579446767379600,292.98172573003500,31.86147339213890,34.03640096533880,105.22105337288800,28.08980771094780,294.9410501467270,154.6841757971770,270.72201506314600,275.9339015990110,66.27758653079380,253.64440561581100,301.97269893328900,301.81728799682200,90.1870401807684,56.16877707583030,56.585772305642600,62.804968206987000,49.901055025141800,0.0,74.36337462731800,38.873120333434900,336.9343509347120,407.38901368370600,454.81562205742700,78.51841333760890,432.6552072337220,178.24283313382800,216.67818702053300,554.5575836366330,379.56040626373200,700.4267988014080,217.14991742318100,367.102970065833,464.9058769336950,558.6839699357280,301.88003025214900,435.6000880099390,272.2935906573320
Parque Expiatorio,82.69941140626120,2.324253527367610,46.26772261423950,62.226826295407300,89.60627159768440,218.71075003992500,81.13165813786400,86.20567323486730,175.6142445807300,82.96710713111610,356.8982855213080,213.6612540781960,332.48161427806700,337.77859636955700,21.856420927087600,179.9107926364060,363.8564665287680,364.01320959285400,96.45266748538410,118.06174452267000,20.357130801265400,126.29734858121300,61.42437166530920,74.36337462731800,0.0,103.75554844682100,408.5726782184490,479.8807852412170,386.0809256219800,152.77788056540600,358.74163411298600,251.70251735588300,142.9150680625650,480.47182464963700,307.5352992578400,635.6568505848990,144.6250529242510,304.9575353705870,537.6953893598680,486.6799516421730,230.57833003028900,361.62220378863600,200.01932713620400
Parque de La Liberación,63.50898606727770,105.66489087452500,76.46628091175680,64.86832173704600,34.700989540922600,320.56005882246600,66.39565446048240,66.49459982210010,101.90066616691900,61.36079663747330,295.6562178429090,162.84646256231400,272.09022847724200,277.1109071639,101.05565177432600,283.0592070304950,302.64704824016900,302.16955492912200,77.7254669358498,74.12098903505900,89.59242762710100,77.23959287540740,88.68437802736040,38.873120333434900,103.75554844682100,0.0,323.7751494721710,391.8437351750710,469.2421185830790,64.02204778694580,455.72798141794100,162.68228524736500,246.1316769774810,577.9950272971750,398.8113421427190,709.6644140413070,238.82200090643700,375.89171089158,448.35304156652600,577.1473840440210,320.68177346629000,458.8899249492760,292.82674348056100
Parque San Jacinto,326.6437822816590,409.5281138023260,363.4299752940100,346.669482677003,321.3958848974400,620.7310163593360,328.69324343170200,323.67863388157600,232.962650877943,326.085841309706,118.31020004266700,213.2808211760030,127.732548189933,125.08389755128600,393.73791185393900,578.5023997520720,117.39572947585800,114.91687717256900,396.8683206728840,291.9720660626820,388.6074879504640,283.5980467113540,355.3276028494760,336.9343509347120,408.5726782184490,323.7751494721710,0.0,73.38125510810340,791.4089968926280,261.0054926207750,765.8207243029410,161.13094211112200,542.952672801885,886.4583182775400,716.0067302333540,1033.3819641823700,553.1560400119160,699.6570167095150,131.62718445868300,895.1829929974710,638.6222808889630,768.4698977550610,608.5231528937970
Parque Jardines del Nilo,398.47428627435600,480.9174644552920,435.16828036862800,418.2856185405310,391.81150451346800,693.344706314699,400.6278117356870,395.6491309627940,304.53876192353100,397.8285933665280,179.9375404726980,286.62657194698400,194.3291693464490,190.80560420767400,465.64497249320400,651.2732645571920,177.09636191344000,174.86621133880600,462.6983819051310,364.1234049643090,460.0867139580520,355.75595119753100,427.7444931513600,407.38901368370600,479.8807852412170,391.8437351750710,73.38125510810340,0.0,860.7902868705120,330.2792136562100,837.8641840878200,229.6904800282240,615.5556915413810,958.7936727012670,786.9155487155960,1100.2526667453900,624.2560244046980,766.9991149099920,58.34222149342220,966.0634842442330,709.2656445242070,840.5723254434900,679.5429275106880
Parque la Calma,468.6625813881700,385.53466748758200,432.3332157421840,448.10544684656000,470.2675287874220,217.83692681283200,467.1944376032740,472.2635022814920,559.8351079291970,468.80291638496900,742.0750952419920,598.8601343781680,717.6978572452780,723.0012590333820,404.0195763588220,255.63185271076800,748.9709045053240,749.2546359061700,403.43370725587700,504.03878785212800,406.4369382861660,512.2049556990130,445.09571774965100,454.81562205742700,386.0809256219800,469.2421185830790,791.4089968926280,860.7902868705120,0.0,530.6200180595170,116.66375838014500,631.1351725757980,278.1939789063800,171.48310976645900,93.41769632158850,255.96531201542500,244.1397889501200,110.35152257723100,917.5580199017990,121.13389024243000,158.1251246700760,119.73801024529500,190.59537626980600
Parque González Gallo,79.21864651503980,154.15699906892500,112.03456727954800,95.18506477703110,63.1718762624718,371.0777126208720,82.2938929192542,78.43172045677120,41.68566752352710,77.70156224555470,233.19337197923400,108.48199664744100,210.049699071567,214.94991811545400,142.4214026539980,331.15646639848700,240.13430696143500,239.53292669552200,140.98789475446800,57.29255185289150,134.25925493042700,52.59169682581050,112.48911270656600,78.51841333760890,152.77788056540600,64.02204778694580,261.0054926207750,330.2792136562100,530.6200180595170,0.0,511.1504716411850,100.59869293304400,294.29583557652400,633.0744666375640,457.32797498659600,772.9834914162610,295.33604397150400,439.15228186952100,387.42038564023600,636.30481984688,379.4254200225550,514.1064768245010,350.30363645277600
Andares Centro Comercial,439.3944311096280,357.5400081395260,402.748075866396,419.69961825964800,448.1102342615060,148.6769269207120,437.23943579511200,442.22571076980100,533.3554145363790,440.0638861749450,701.039355719061,560.6880718607050,677.1657145118900,682.4017119879300,372.2206917742550,191.97479726828500,707.6491986826780,708.3046063132010,403.36292722458300,473.8542117307300,378.13955881751600,482.2280979943420,410.65247139408100,432.6552072337220,358.74163411298600,455.72798141794100,765.8207243029410,837.8641840878200,116.66375838014500,511.1504716411850,0.0,610.4364175098420,224.73769880965700,122.28461488957500,73.53178734464980,341.25542952724000,216.92919627988800,179.7046386645520,895.901663211426,142.46097706438400,141.60786292670200,4.352117124989690,164.19502574545100
Fórum Tlaquepaque,172.40900051721700,252.8971827495090,208.3464832403660,191.26275571830200,162.67930351597700,468.3284917533850,174.93103524829500,170.1843149299640,80.1624907674838,171.45756199132200,157.68341362929700,101.57724025543900,139.12789601050100,142.8073560555350,239.09053065151000,427.33333884603000,163.8478927370320,162.48315237400500,236.1984863164440,140.26727064467100,232.37509825434000,132.20911884175500,203.89233351971200,178.24283313382800,251.70251735588300,162.68228524736500,161.13094211112200,229.6904800282240,631.1351725757980,100.59869293304400,610.4364175098420,0.0,390.8494164301850,732.0535625720490,557.7057948567120,872.2510267638700,395.3917367084970,538.5359107135710,286.8521987390870,736.7600992823770,479.88674864727500,613.2971280645740,450.5203379052530
Centro Comercial Plaza Patria,218.45243496366900,141.2186408919970,182.75209338259800,199.83591426743500,231.46254877556000,77.78903227829340,215.9891193581170,220.81546005339300,311.997293869032,219.392794667856,476.41904500174800,336.02120072029000,452.49007147264600,457.73407216560800,152.05840217056000,36.99703096190050,483.06021413054200,483.6834630724520,215.05805764712300,251.75988854793500,160.18778991229700,260.0888260213190,187.8953565869320,216.67818702053300,142.9150680625650,246.1316769774810,542.952672801885,615.5556915413810,278.1939789063800,294.29583557652400,224.73769880965700,390.8494164301850,0.0,343.802483018061,188.00971235183300,534.1591533332650,61.456280917384600,229.82640407583300,673.8024664059140,361.53321832913600,123.93212861503100,227.01929515005500,92.61879320895030
Plaza Real Center,560.5109975003040,479.213490020091,524.0078733217930,541.0234057080650,569.970359168424,266.26543667531800,558.2703904778180,563.2195423408950,654.4756107453310,561.2489240903780,818.278179147592,679.4320290543060,794.6656158399720,799.8571805869040,493.3664590536510,309.21134109915300,824.77062162107,825.5368267912210,525.0276072200650,594.6709150501750,499.67876823176400,603.0378110846080,531.1323508166790,554.5575836366330,480.47182464963700,577.9950272971750,886.4583182775400,958.7936727012670,171.48310976645900,633.0744666375640,122.28461488957500,732.0535625720490,343.802483018061,0.0,187.2497585591810,290.7905883372330,339.2109861176990,272.75007029233700,1016.9350151017900,86.24784447916770,262.072612581484,119.11206483498300,286.2470866838310
